"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"-0.1"	"0.02"	"1"	"1"	"RDB.all"	"1.46046"	"-0.07321"	"-0.06805"	"-0.07141"	"-0.07338"	"-0.07251"	"0.97392"	"0.02117"	"78.95834"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"2"	"RDB.all"	"0.62243"	"-0.15487"	"-0.13675"	"-0.15146"	"-0.15061"	"-0.16852"	"0.97738"	"0.02108"	"79.08952"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"3"	"RDB.all"	"2.02695"	"-0.05359"	"-0.04965"	"-0.05048"	"-0.05432"	"-0.05489"	"0.97343"	"0.02086"	"79.43398"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"4"	"RDB.all"	"1.40521"	"-0.07896"	"-0.07061"	"-0.06987"	"-0.08071"	"-0.0708"	"0.98051"	"0.01831"	"83.61026"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"5"	"RDB.all"	"0.58812"	"-0.14967"	"-0.15952"	"-0.16671"	"-0.14853"	"-0.14578"	"0.97957"	"0.01922"	"82.0464"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"6"	"RDB.all"	"0.72248"	"-0.12247"	"-0.12263"	"-0.13356"	"-0.13049"	"-0.13772"	"0.97535"	"0.02055"	"79.90429"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"7"	"RDB.all"	"1.48913"	"-0.06337"	"-0.06667"	"-0.07426"	"-0.07286"	"-0.077"	"0.99012"	"0.01299"	"94.59246"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"8"	"RDB.all"	"0.64163"	"-0.16701"	"-0.14774"	"-0.14244"	"-0.14141"	"-0.15707"	"0.97454"	"0.02276"	"76.64393"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"9"	"RDB.all"	"1.0976"	"-0.08821"	"-0.09373"	"-0.08936"	"-0.09262"	"-0.08462"	"0.98254"	"0.01672"	"86.50502"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"10"	"RDB.all"	"0.86978"	"-0.10925"	"-0.11079"	"-0.10864"	"-0.10369"	"-0.11576"	"0.97718"	"0.01941"	"81.73795"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"11"	"RDB.all"	"0.8173"	"-0.13058"	"-0.12833"	"-0.11994"	"-0.11139"	"-0.12206"	"0.9822"	"0.01849"	"83.29004"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"12"	"RDB.all"	"1.18291"	"-0.07785"	"-0.08719"	"-0.09177"	"-0.09312"	"-0.08074"	"0.98414"	"0.01647"	"87.00017"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"13"	"RDB.all"	"1.01723"	"-0.09431"	"-0.10132"	"-0.10791"	"-0.0948"	"-0.10362"	"0.98365"	"0.01732"	"85.3897"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"14"	"RDB.all"	"0.69224"	"-0.1457"	"-0.14436"	"-0.1334"	"-0.14476"	"-0.14028"	"0.98185"	"0.01901"	"82.40563"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"15"	"RDB.all"	"1.11832"	"-0.09283"	"-0.08403"	"-0.08483"	"-0.09156"	"-0.09955"	"0.97914"	"0.01905"	"82.33697"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"16"	"RDB.all"	"1.68202"	"-0.06368"	"-0.06139"	"-0.06432"	"-0.06489"	"-0.06303"	"0.98499"	"0.01592"	"88.06967"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"17"	"RDB.all"	"1.37794"	"-0.07616"	"-0.07979"	"-0.0745"	"-0.07374"	"-0.07999"	"0.98349"	"0.01718"	"85.64969"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"18"	"RDB.all"	"1.49332"	"-0.07103"	"-0.07534"	"-0.07514"	"-0.06435"	"-0.0793"	"0.96519"	"0.02574"	"72.70132"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"19"	"RDB.all"	"0.62019"	"-0.15943"	"-0.16076"	"-0.14112"	"-0.16014"	"-0.14956"	"0.97266"	"0.02341"	"75.73862"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"20"	"RDB.all"	"1.49295"	"-0.06694"	"-0.06778"	"-0.07105"	"-0.0657"	"-0.0776"	"0.97521"	"0.02052"	"79.95891"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"21"	"RDB.all"	"1.22273"	"-0.08031"	"-0.09175"	"-0.08146"	"-0.07681"	"-0.08871"	"0.98216"	"0.01754"	"84.9774"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"22"	"RDB.all"	"1.24242"	"-0.07822"	"-0.0823"	"-0.08454"	"-0.08417"	"-0.08025"	"0.97893"	"0.01885"	"82.68154"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"23"	"RDB.all"	"0.99969"	"-0.09474"	"-0.10073"	"-0.08928"	"-0.09941"	"-0.10279"	"0.97323"	"0.02082"	"79.49046"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"24"	"RDB.all"	"0.97036"	"-0.1087"	"-0.09422"	"-0.10794"	"-0.09733"	"-0.09586"	"0.98108"	"0.01783"	"84.45274"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"25"	"RDB.all"	"1.16433"	"-0.08676"	"-0.09449"	"-0.08658"	"-0.08599"	"-0.08984"	"0.97992"	"0.01899"	"82.42919"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"26"	"RDB.all"	"0.87745"	"-0.10451"	"-0.10944"	"-0.10305"	"-0.12314"	"-0.12433"	"0.98656"	"0.01555"	"88.8268"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"27"	"RDB.all"	"1.34076"	"-0.08116"	"-0.07356"	"-0.06732"	"-0.08024"	"-0.08575"	"0.97467"	"0.02103"	"79.17268"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"28"	"RDB.all"	"1.09683"	"-0.09334"	"-0.09402"	"-0.09267"	"-0.09232"	"-0.09152"	"0.98073"	"0.01849"	"83.29709"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"29"	"RDB.all"	"1.47917"	"-0.07443"	"-0.07168"	"-0.07041"	"-0.07223"	"-0.07292"	"0.96697"	"0.0246"	"74.15632"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"30"	"RDB.all"	"0.69755"	"-0.13584"	"-0.14054"	"-0.13459"	"-0.12561"	"-0.12054"	"0.97827"	"0.01901"	"82.41094"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"31"	"RDB.all"	"0.57723"	"-0.16048"	"-0.16077"	"-0.15137"	"-0.15313"	"-0.17519"	"0.98295"	"0.018"	"84.14258"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"32"	"RDB.all"	"0.77753"	"-0.11558"	"-0.1275"	"-0.12959"	"-0.11138"	"-0.1378"	"0.98283"	"0.01758"	"84.90074"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"33"	"RDB.all"	"1.11162"	"-0.08871"	"-0.08722"	"-0.09945"	"-0.08198"	"-0.09007"	"0.97874"	"0.01874"	"82.85895"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"34"	"RDB.all"	"0.58624"	"-0.13755"	"-0.16967"	"-0.16097"	"-0.15464"	"-0.16676"	"0.97362"	"0.02252"	"76.97694"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"35"	"RDB.all"	"1.44441"	"-0.07163"	"-0.07258"	"-0.07373"	"-0.06832"	"-0.07185"	"0.97807"	"0.01909"	"82.26867"	NA
