"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"-0.1"	"0.02"	"1"	"1"	"RDB"	"-100"	"0.00122"	"0.00104"	"0.00116"	"0.97707"	"0.01384"	"23.88909"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"2"	"RDB"	"-100"	"0.00112"	"0.00095"	"0.00135"	"0.93957"	"0.02468"	"19.26177"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"3"	"RDB"	"-7.14627"	"0.01531"	"0.01463"	"0.01677"	"0.98294"	"0.01173"	"25.21288"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"4"	"RDB"	"-2.28447"	"0.05209"	"0.05149"	"0.04801"	"0.94173"	"0.02157"	"20.33944"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"5"	"RDB"	"-100"	"0.00108"	"9e-04"	"0.00121"	"0.98979"	"0.00857"	"27.72548"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"6"	"RDB"	"-0.52416"	"0.23264"	"0.2629"	"0.20855"	"0.92044"	"0.02123"	"20.46812"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"7"	"RDB"	"-100"	"8e-04"	"0.00141"	"0.0013"	"0.9262"	"0.02917"	"17.92577"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"8"	"RDB"	"-0.68071"	"0.20578"	"0.20458"	"0.16534"	"0.92639"	"0.02312"	"19.78352"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"9"	"RDB"	"-3.17626"	"0.03555"	"0.03055"	"0.02829"	"0.96319"	"0.01509"	"23.19566"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"10"	"RDB"	"-100"	"0.00121"	"0.00098"	"0.00114"	"0.955"	"0.02081"	"20.62776"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"11"	"RDB"	"-31.27314"	"0.00293"	"0.00337"	"0.00326"	"0.93976"	"0.01751"	"22.00822"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"12"	"RDB"	"-100"	"0.00101"	"0.00131"	"0.00114"	"0.92216"	"0.02986"	"17.73776"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"13"	"RDB"	"-1.80196"	"0.06597"	"0.05244"	"0.05876"	"0.96241"	"0.0158"	"22.82991"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"14"	"RDB"	"-1.28449"	"0.0986"	"0.08639"	"0.09165"	"0.92952"	"0.02084"	"20.61597"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"15"	"RDB"	"-0.98157"	"0.11592"	"0.10383"	"0.10218"	"0.97837"	"0.0097"	"26.73499"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"16"	"RDB"	"-100"	"0.00114"	"0.00104"	"0.00107"	"0.97931"	"0.01234"	"24.80749"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"17"	"RDB"	"-100"	"0.00111"	"0.00104"	"0.00103"	"0.96904"	"0.01454"	"23.49797"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"18"	"RDB"	"-1.69749"	"0.06768"	"0.07151"	"0.06656"	"0.96668"	"0.01515"	"23.1651"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"19"	"RDB"	"-1.10069"	"0.10514"	"0.12543"	"0.08621"	"0.97199"	"0.01431"	"23.62044"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"20"	"RDB"	"-1.82"	"0.06878"	"0.05674"	"0.06622"	"0.98932"	"0.00868"	"27.62653"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"21"	"RDB"	"-100"	"0.0013"	"0.00103"	"0.00092"	"0.94876"	"0.02105"	"20.53587"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"22"	"RDB"	"-100"	"0.00122"	"0.00085"	"0.00127"	"0.93632"	"0.02447"	"19.33173"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"23"	"RDB"	"-0.69783"	"0.18158"	"0.18614"	"0.15379"	"0.98043"	"0.01082"	"25.86266"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"24"	"RDB"	"-100"	"0.00127"	"0.00117"	"0.00093"	"0.95081"	"0.02102"	"20.54568"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"25"	"RDB"	"-1.10699"	"0.13235"	"0.09858"	"0.1193"	"0.92542"	"0.02474"	"19.24395"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"26"	"RDB"	"-100"	"0.00111"	"0.001"	"0.00118"	"0.9653"	"0.01642"	"22.52293"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"27"	"RDB"	"-1.79829"	"0.06192"	"0.07108"	"0.05674"	"0.95883"	"0.01681"	"22.33634"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"28"	"RDB"	"-0.75427"	"0.1682"	"0.17634"	"0.12083"	"0.98466"	"0.00952"	"26.88539"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"29"	"RDB"	"-0.57697"	"0.2036"	"0.21543"	"0.2111"	"0.94597"	"0.01789"	"21.83868"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"30"	"RDB"	"-2.45183"	"0.04916"	"0.03773"	"0.04897"	"0.98604"	"0.01005"	"26.44787"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"31"	"RDB"	"-100"	"0.00093"	"0.00126"	"0.00117"	"0.92593"	"0.02709"	"18.51708"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"32"	"RDB"	"-100"	"0.00127"	"0.00105"	"0.00112"	"0.90909"	"0.0279"	"18.2818"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"33"	"RDB"	"-2.4321"	"0.04618"	"0.0494"	"0.04705"	"0.99789"	"0.00377"	"34.28862"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"34"	"RDB"	"-100"	"0.00132"	"0.0012"	"0.001"	"0.95527"	"0.02042"	"20.77744"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"35"	"RDB"	"-3.95445"	"0.02327"	"0.03059"	"0.03083"	"0.93284"	"0.02497"	"19.17005"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"36"	"RDB"	"-1.22102"	"0.11236"	"0.10324"	"0.0876"	"0.9873"	"0.00978"	"26.66579"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"37"	"RDB"	"-3.65226"	"0.02995"	"0.0219"	"0.03441"	"0.98007"	"0.01207"	"24.98675"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"38"	"RDB"	"-1.00266"	"0.14543"	"0.08526"	"0.11363"	"0.97174"	"0.01421"	"23.67641"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"39"	"RDB"	"-100"	"0.00106"	"0.00111"	"0.00111"	"0.97828"	"0.01302"	"24.379"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"40"	"RDB"	"-3.39214"	"0.03352"	"0.02918"	"0.03304"	"0.96676"	"0.01499"	"23.25143"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"41"	"RDB"	"-0.98669"	"0.13517"	"0.13061"	"0.11329"	"0.97687"	"0.01316"	"24.29473"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"42"	"RDB"	"-0.74523"	"0.17498"	"0.16541"	"0.14823"	"0.98164"	"0.0103"	"26.25711"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"43"	"RDB"	"-100"	"0.00107"	"0.00114"	"0.00123"	"0.89761"	"0.03503"	"16.46118"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"44"	"RDB"	"-1.25071"	"0.09667"	"0.10513"	"0.07736"	"0.92725"	"0.02396"	"19.49887"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"45"	"RDB"	"-0.95902"	"0.13574"	"0.09496"	"0.14981"	"0.93432"	"0.02212"	"20.13981"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"46"	"RDB"	"-100"	"0.00103"	"0.00118"	"0.00118"	"0.98101"	"0.01237"	"24.78631"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"47"	"RDB"	"-2.4607"	"0.04124"	"0.0411"	"0.044"	"0.91532"	"0.01956"	"21.12274"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"48"	"RDB"	"-1.67816"	"0.08185"	"0.06946"	"0.06857"	"0.94835"	"0.02219"	"20.11429"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"49"	"RDB"	"-1.46954"	"0.07046"	"0.08717"	"0.07576"	"0.9299"	"0.02164"	"20.31315"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"50"	"RDB"	"-1.09015"	"0.10849"	"0.07329"	"0.12874"	"0.96904"	"0.01384"	"23.8896"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"51"	"RDB"	"-1.58868"	"0.07571"	"0.07939"	"0.06029"	"0.91981"	"0.02513"	"19.11813"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"52"	"RDB"	"-2.25073"	"0.05012"	"0.0583"	"0.04545"	"0.99135"	"0.00808"	"28.19903"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"53"	"RDB"	"-100"	"0.00113"	"0.00082"	"0.00111"	"0.95141"	"0.01835"	"21.63397"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"54"	"RDB"	"-2.5863"	"0.0461"	"0.04308"	"0.0455"	"0.96561"	"0.01703"	"22.22854"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"55"	"RDB"	"-100"	"0.00113"	"0.0011"	"0.00101"	"0.93736"	"0.02294"	"19.84717"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"56"	"RDB"	"-2.27503"	"0.04498"	"0.05557"	"0.05529"	"0.93714"	"0.02275"	"19.91363"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"57"	"RDB"	"-1.90142"	"0.06116"	"0.05606"	"0.06364"	"0.96286"	"0.01741"	"22.05447"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"58"	"RDB"	"-3.31734"	"0.03585"	"0.0328"	"0.03084"	"0.98669"	"0.00907"	"27.26648"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"59"	"RDB"	"-100"	"0.00093"	"0.00123"	"0.00107"	"0.95573"	"0.01996"	"20.95906"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"60"	"RDB"	"-100"	"0.00122"	"0.00123"	"0.00103"	"0.97038"	"0.01579"	"22.8369"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"61"	"RDB"	"-100"	"0.00113"	"0.00092"	"0.00123"	"0.9415"	"0.02367"	"19.59725"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"62"	"RDB"	"-2.35638"	"0.05119"	"0.03977"	"0.04826"	"0.96198"	"0.01567"	"22.89641"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"63"	"RDB"	"-100"	"0.0011"	"0.0013"	"0.00097"	"0.9543"	"0.02116"	"20.49536"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"64"	"RDB"	"-100"	"0.00111"	"0.00095"	"0.00109"	"0.95551"	"0.01819"	"21.7015"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"65"	"RDB"	"-100"	"0.00121"	"0.00094"	"0.00132"	"0.96873"	"0.01645"	"22.50594"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"66"	"RDB"	"-100"	"0.00111"	"0.00108"	"0.0011"	"0.9601"	"0.01708"	"22.20739"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"67"	"RDB"	"-0.94386"	"0.12869"	"0.14695"	"0.09885"	"0.91914"	"0.02565"	"18.95365"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"68"	"RDB"	"-100"	"0.00095"	"0.00128"	"0.00102"	"0.96208"	"0.01761"	"21.96232"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"69"	"RDB"	"-1.95959"	"0.05469"	"0.07575"	"0.04996"	"0.96744"	"0.01685"	"22.31354"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"70"	"RDB"	"-100"	"0.00115"	"0.00113"	"0.00106"	"0.93327"	"0.0248"	"19.22397"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"71"	"RDB"	"-0.98345"	"0.13125"	"0.1067"	"0.09553"	"0.96346"	"0.01477"	"23.37217"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"72"	"RDB"	"-100"	"0.00119"	"0.00099"	"0.00115"	"0.99654"	"0.00501"	"32.01961"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"73"	"RDB"	"-100"	"0.0011"	"0.00125"	"0.00123"	"0.94494"	"0.02266"	"19.94617"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"74"	"RDB"	"-2.79284"	"0.03932"	"0.03727"	"0.03393"	"0.96987"	"0.01408"	"23.75378"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"75"	"RDB"	"-100"	"0.00104"	"0.00112"	"0.00116"	"0.95945"	"0.01894"	"21.37884"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"76"	"RDB"	"-0.93046"	"0.1543"	"0.09609"	"0.14454"	"0.96304"	"0.01536"	"23.05887"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"77"	"RDB"	"-4.47705"	"0.02093"	"0.02478"	"0.0222"	"0.92351"	"0.02212"	"20.13971"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"78"	"RDB"	"-100"	"0.00104"	"0.0011"	"0.00095"	"0.97075"	"0.01438"	"23.58342"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"79"	"RDB"	"-100"	"0.00093"	"0.00109"	"0.00121"	"0.92324"	"0.02554"	"18.9883"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"80"	"RDB"	"-91.30019"	"0.00127"	"0.00134"	"0.0011"	"0.94347"	"0.02273"	"19.92178"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"81"	"RDB"	"-4.5939"	"0.02505"	"0.02443"	"0.02505"	"0.96691"	"0.01664"	"22.41381"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"82"	"RDB"	"-100"	"0.00109"	"0.00132"	"0.00087"	"0.89551"	"0.03155"	"17.29792"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"83"	"RDB"	"-1.28755"	"0.08959"	"0.06825"	"0.12938"	"0.9847"	"0.01136"	"25.46959"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"84"	"RDB"	"-2.22685"	"0.04931"	"0.04116"	"0.066"	"0.99664"	"0.00506"	"31.94136"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"85"	"RDB"	"-1.76856"	"0.0631"	"0.05691"	"0.0694"	"0.98349"	"0.01078"	"25.88581"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"86"	"RDB"	"-3771.10145"	"3e-05"	"3e-05"	"2e-05"	"0.9887"	"0.0091"	"27.24491"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"87"	"RDB"	"-100"	"0.00134"	"0.00105"	"0.00087"	"0.97556"	"0.01404"	"23.77349"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"88"	"RDB"	"-100"	"0.00127"	"0.00096"	"0.0012"	"0.95993"	"0.02007"	"20.91676"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"89"	"RDB"	"-1.66771"	"0.06666"	"0.06592"	"0.0619"	"0.97412"	"0.01308"	"24.34024"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"90"	"RDB"	"-8.65094"	"0.01388"	"0.01341"	"0.01104"	"0.95721"	"0.01774"	"21.90407"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"91"	"RDB"	"-100"	"0.00122"	"0.00115"	"0.00109"	"0.98531"	"0.01113"	"25.63466"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"92"	"RDB"	"-18.38518"	"0.0058"	"0.00537"	"0.0059"	"0.98683"	"0.00905"	"27.29109"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"93"	"RDB"	"-24.57659"	"0.00543"	"0.00398"	"0.00282"	"0.98367"	"0.00991"	"26.5582"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"94"	"RDB"	"-1.32036"	"0.07275"	"0.09195"	"0.09007"	"0.92276"	"0.02434"	"19.37278"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"95"	"RDB"	"-3.76639"	"0.02901"	"0.02709"	"0.03276"	"0.98982"	"0.00865"	"27.65062"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"96"	"RDB"	"-100"	"0.00106"	"0.00096"	"0.00111"	"0.96906"	"0.01513"	"23.17945"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"97"	"RDB"	"-1.38938"	"0.08799"	"0.07575"	"0.09004"	"0.92269"	"0.02701"	"18.54081"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"98"	"RDB"	"-100"	"0.0012"	"0.00095"	"0.00123"	"0.98377"	"0.01189"	"25.10383"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"99"	"RDB"	"-1.23675"	"0.07468"	"0.10688"	"0.1007"	"0.98001"	"0.01214"	"24.94078"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"100"	"RDB"	"-2.82394"	"0.03742"	"0.04133"	"0.0398"	"0.94459"	"0.02163"	"20.31856"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"1"	"RDB"	"-0.42159"	"0.15449"	"0.44338"	"0.45154"	"0.66061"	"0.06432"	"11.59978"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"2"	"RDB"	"-0.75633"	"0.11502"	"0.20322"	"0.18744"	"0.64998"	"0.04907"	"13.76497"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"3"	"RDB"	"-100"	"0.00149"	"0.00108"	"0.00112"	"0.83682"	"0.04949"	"13.69614"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"4"	"RDB"	"-100"	"0.00145"	"0.00113"	"0.00091"	"0.8737"	"0.03771"	"15.87097"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"5"	"RDB"	"-100"	"0.0017"	"0.00061"	"0.00073"	"0.84528"	"0.04569"	"14.33487"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"6"	"RDB"	"-100"	"0.00171"	"0.00079"	"0.00094"	"0.7726"	"0.05798"	"12.42912"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"7"	"RDB"	"-31.92273"	"0.00242"	"0.00427"	"0.00221"	"0.83634"	"0.03748"	"15.91998"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"8"	"RDB"	"-100"	"0.0013"	"0.00164"	"0.00091"	"0.82477"	"0.04747"	"14.0301"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"9"	"RDB"	"-0.39766"	"0.34716"	"0.52401"	"0.34779"	"0.76638"	"0.04864"	"13.83422"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"10"	"RDB"	"-1.1528"	"0.11603"	"0.07676"	"0.08819"	"0.94168"	"0.02079"	"20.63572"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"11"	"RDB"	"-0.80398"	"0.24104"	"0.08233"	"0.15682"	"0.93622"	"0.02741"	"18.42183"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"12"	"RDB"	"-0.66049"	"0.10137"	"0.25085"	"0.17451"	"0.86509"	"0.03299"	"16.94204"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"13"	"RDB"	"-1.85126"	"0.06159"	"0.0757"	"0.06724"	"0.84435"	"0.04551"	"14.367"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"14"	"RDB"	"-100"	"0.00125"	"0.00105"	"0.00111"	"0.85394"	"0.0412"	"15.16388"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"15"	"RDB"	"-0.96588"	"0.1691"	"0.15942"	"0.07975"	"0.93068"	"0.02722"	"18.47954"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"16"	"RDB"	"-0.27274"	"0.38423"	"0.75844"	"0.64264"	"0.60797"	"0.06078"	"12.05284"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"17"	"RDB"	"-0.50564"	"0.36172"	"0.22817"	"0.17871"	"0.96268"	"0.01581"	"22.82374"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"18"	"RDB"	"-0.94884"	"0.18066"	"0.13954"	"0.11109"	"0.8176"	"0.04841"	"13.87323"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"19"	"RDB"	"-0.50155"	"0.40949"	"0.47225"	"0.206"	"0.27458"	"0.11384"	"7.03227"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"20"	"RDB"	"-0.24933"	"0.37498"	"0.30226"	"0.5135"	"-0.02499"	"0.10428"	"7.73361"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"21"	"RDB"	"-100"	"0.00157"	"7e-04"	"0.00156"	"0.91594"	"0.03451"	"16.57943"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"22"	"RDB"	"-0.60826"	"0.15204"	"0.18446"	"0.12549"	"0.89978"	"0.02164"	"20.31439"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"23"	"RDB"	"-100"	"0.00021"	"0.00132"	"0.00153"	"0.86363"	"0.04168"	"15.06965"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"24"	"RDB"	"-0.89344"	"0.11022"	"0.17367"	"0.11842"	"0.95285"	"0.01668"	"22.39902"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"25"	"RDB"	"-27.98725"	"0.00547"	"0.00402"	"0.00361"	"0.86362"	"0.04616"	"14.25385"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"26"	"RDB"	"-0.26465"	"0.57964"	"0.52361"	"0.17466"	"0.52797"	"0.07892"	"9.96337"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"27"	"RDB"	"-2.3552"	"0.05838"	"0.03707"	"0.04569"	"0.98733"	"0.0094"	"26.98856"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"28"	"RDB"	"-0.41"	"0.42076"	"0.31399"	"0.29869"	"0.72493"	"0.04115"	"15.17305"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"29"	"RDB"	"-100"	"0.00085"	"0.00124"	"0.00127"	"0.82165"	"0.04646"	"14.20216"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"30"	"RDB"	"-5.69084"	"0.01865"	"0.02007"	"0.02386"	"0.82679"	"0.03637"	"16.16069"	NA
