"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"-0.1"	"0.02"	"1"	"1"	"max"	"0.1"	"-0.74239"	"-0.63395"	"-0.73305"	"0.82374"	"0.03838"	"15.73114"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"2"	"max"	"0.1"	"-0.7266"	"-0.52622"	"-0.87605"	"0.87901"	"0.03492"	"16.48508"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"3"	"max"	"0.1"	"-0.67619"	"-0.65124"	"-0.74195"	"0.80488"	"0.03967"	"15.46565"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"4"	"max"	"0.1"	"-0.67302"	"-0.72196"	"-0.6772"	"0.75579"	"0.04416"	"14.60746"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"5"	"max"	"0.1"	"-0.67314"	"-0.5695"	"-0.77681"	"0.8226"	"0.03571"	"16.30675"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"6"	"max"	"0.1"	"-0.5852"	"-0.75893"	"-0.61226"	"0.52793"	"0.05171"	"13.34558"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"7"	"max"	"0.1"	"-0.39694"	"-0.93929"	"-0.86366"	"0.8776"	"0.03757"	"15.90195"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"8"	"max"	"0.1"	"-0.70496"	"-0.77868"	"-0.60785"	"0.59699"	"0.05411"	"12.98285"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"9"	"max"	"0.1"	"-0.73227"	"-0.63109"	"-0.53094"	"0.83039"	"0.0324"	"17.08519"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"10"	"max"	"0.1"	"-0.75808"	"-0.60054"	"-0.71823"	"0.91601"	"0.02843"	"18.13164"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"11"	"max"	"0.1"	"-0.57585"	"-0.6823"	"-0.65042"	"0.69077"	"0.03967"	"15.46542"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"12"	"max"	"0.1"	"-0.62315"	"-0.82545"	"-0.68031"	"0.94349"	"0.02545"	"19.01818"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"13"	"max"	"0.1"	"-0.7381"	"-0.55402"	"-0.67581"	"0.68352"	"0.04585"	"14.30823"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"14"	"max"	"0.1"	"-0.74937"	"-0.65499"	"-0.65124"	"0.57238"	"0.05133"	"13.40407"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"15"	"max"	"0.1"	"-0.68971"	"-0.60958"	"-0.58241"	"0.55087"	"0.04419"	"14.60177"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"16"	"max"	"0.1"	"-0.71696"	"-0.64576"	"-0.66766"	"0.85716"	"0.03242"	"17.07912"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"17"	"max"	"0.1"	"-0.70768"	"-0.64176"	"-0.65057"	"0.8301"	"0.03405"	"16.68762"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"18"	"max"	"0.1"	"-0.64993"	"-0.74328"	"-0.67493"	"0.67451"	"0.04736"	"14.04872"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"19"	"max"	"0.1"	"-0.68704"	"-0.85284"	"-0.51006"	"0.70422"	"0.04652"	"14.19195"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"20"	"max"	"0.1"	"-0.76269"	"-0.60534"	"-0.70825"	"0.72137"	"0.0443"	"14.58178"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"21"	"max"	"0.1"	"-0.87323"	"-0.62628"	"-0.54914"	"0.87642"	"0.03269"	"17.01491"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"22"	"max"	"0.1"	"-0.7944"	"-0.46994"	"-0.82324"	"0.90923"	"0.02921"	"17.91379"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"23"	"max"	"0.1"	"-0.71277"	"-0.74645"	"-0.56194"	"0.53173"	"0.05291"	"13.16186"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"24"	"max"	"0.1"	"-0.82617"	"-0.71638"	"-0.54904"	"0.87858"	"0.03303"	"16.93194"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"25"	"max"	"0.1"	"-0.87106"	"-0.55253"	"-0.74408"	"0.68488"	"0.05085"	"13.47979"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"26"	"max"	"0.1"	"-0.67862"	"-0.62996"	"-0.74147"	"0.8527"	"0.03383"	"16.73972"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"27"	"max"	"0.1"	"-0.63383"	"-0.8023"	"-0.61093"	"0.67438"	"0.04727"	"14.06426"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"28"	"max"	"0.1"	"-0.72228"	"-0.75515"	"-0.51742"	"0.56859"	"0.05048"	"13.53828"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"29"	"max"	"0.1"	"-0.58883"	"-0.69218"	"-0.68662"	"0.58912"	"0.04932"	"13.72403"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"30"	"max"	"0.1"	"-0.75635"	"-0.54784"	"-0.73089"	"0.78538"	"0.03941"	"15.51745"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"31"	"max"	"0.1"	"-0.57628"	"-0.831"	"-0.68529"	"0.85971"	"0.03728"	"15.96265"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"32"	"max"	"0.1"	"-0.78275"	"-0.62647"	"-0.68133"	"0.86375"	"0.03415"	"16.66338"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"33"	"max"	"0.1"	"-0.66881"	"-0.73365"	"-0.68716"	"0.64378"	"0.04899"	"13.77799"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"34"	"max"	"0.1"	"-0.83214"	"-0.7516"	"-0.57207"	"0.85243"	"0.03709"	"16.00309"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"35"	"max"	"0.1"	"-0.49603"	"-0.79643"	"-0.77941"	"0.83762"	"0.03882"	"15.63835"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"36"	"max"	"0.1"	"-0.79257"	"-0.71542"	"-0.61426"	"0.69721"	"0.04776"	"13.9809"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"37"	"max"	"0.1"	"-0.67863"	"-0.49121"	"-0.81658"	"0.80796"	"0.03746"	"15.92476"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"38"	"max"	"0.1"	"-0.87837"	"-0.49645"	"-0.64073"	"0.78462"	"0.03924"	"15.55277"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"39"	"max"	"0.1"	"-0.66252"	"-0.70219"	"-0.68128"	"0.85922"	"0.03315"	"16.90218"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"40"	"max"	"0.1"	"-0.72367"	"-0.58213"	"-0.695"	"0.79248"	"0.03745"	"15.92558"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"41"	"max"	"0.1"	"-0.76817"	"-0.75074"	"-0.59653"	"0.6386"	"0.052"	"13.30007"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"42"	"max"	"0.1"	"-0.71149"	"-0.7026"	"-0.61052"	"0.52362"	"0.05244"	"13.23339"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"43"	"max"	"0.1"	"-0.69208"	"-0.6595"	"-0.77232"	"0.89657"	"0.03521"	"16.42067"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"44"	"max"	"0.1"	"-0.74316"	"-0.75657"	"-0.53577"	"0.80911"	"0.03882"	"15.63999"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"45"	"max"	"0.1"	"-0.77535"	"-0.43702"	"-0.89083"	"0.58417"	"0.05565"	"12.75784"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"46"	"max"	"0.1"	"-0.62185"	"-0.74865"	"-0.72533"	"0.82866"	"0.03716"	"15.98818"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"47"	"max"	"0.1"	"-0.6305"	"-0.62203"	"-0.66771"	"0.52295"	"0.04642"	"14.20797"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"48"	"max"	"0.1"	"-0.79513"	"-0.7021"	"-0.64967"	"0.8131"	"0.0422"	"14.97036"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"49"	"max"	"0.1"	"-0.62599"	"-0.74984"	"-0.63759"	"0.74544"	"0.04124"	"15.15454"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"50"	"max"	"0.1"	"-0.6991"	"-0.43739"	"-0.86841"	"0.69193"	"0.04366"	"14.69904"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"51"	"max"	"0.1"	"-0.73962"	"-0.80288"	"-0.49838"	"0.77725"	"0.04188"	"15.03173"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"52"	"max"	"0.1"	"-0.67297"	"-0.80885"	"-0.6082"	"0.71967"	"0.04599"	"14.28374"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"53"	"max"	"0.1"	"-0.73175"	"-0.48803"	"-0.73421"	"0.86505"	"0.03058"	"17.54764"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"54"	"max"	"0.1"	"-0.73823"	"-0.63681"	"-0.7244"	"0.77155"	"0.0439"	"14.65465"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"55"	"max"	"0.1"	"-0.72851"	"-0.67896"	"-0.61277"	"0.91288"	"0.02706"	"18.52743"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"56"	"max"	"0.1"	"-0.56914"	"-0.78834"	"-0.74601"	"0.79564"	"0.04102"	"15.19769"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"57"	"max"	"0.1"	"-0.70314"	"-0.6061"	"-0.75403"	"0.79553"	"0.04085"	"15.2315"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"58"	"max"	"0.1"	"-0.73473"	"-0.65491"	"-0.64034"	"0.65709"	"0.04606"	"14.27173"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"59"	"max"	"0.1"	"-0.56633"	"-0.81429"	"-0.66181"	"0.88289"	"0.03247"	"17.06789"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"60"	"max"	"0.1"	"-0.74124"	"-0.76804"	"-0.62186"	"0.83496"	"0.03727"	"15.96589"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"61"	"max"	"0.1"	"-0.72564"	"-0.52688"	"-0.81356"	"0.89409"	"0.03185"	"17.22291"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"62"	"max"	"0.1"	"-0.73202"	"-0.55419"	"-0.73019"	"0.62254"	"0.04938"	"13.71462"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"63"	"max"	"0.1"	"-0.66455"	"-0.82138"	"-0.612"	"0.89213"	"0.0325"	"17.05971"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"64"	"max"	"0.1"	"-0.68713"	"-0.59914"	"-0.69827"	"0.88352"	"0.02944"	"17.8514"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"65"	"max"	"0.1"	"-0.75094"	"-0.56754"	"-0.81543"	"0.8444"	"0.0367"	"16.08729"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"66"	"max"	"0.1"	"-0.66966"	"-0.68738"	"-0.69127"	"0.79802"	"0.03843"	"15.72068"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"67"	"max"	"0.1"	"-0.70288"	"-0.87699"	"-0.46298"	"0.79001"	"0.04134"	"15.1361"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"68"	"max"	"0.1"	"-0.60632"	"-0.82267"	"-0.61139"	"0.88059"	"0.03125"	"17.37378"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"69"	"max"	"0.1"	"-0.64102"	"-0.94818"	"-0.53589"	"0.78711"	"0.0431"	"14.80246"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"70"	"max"	"0.1"	"-0.69477"	"-0.68778"	"-0.68784"	"0.88629"	"0.03237"	"17.09177"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"71"	"max"	"0.1"	"-0.79214"	"-0.64724"	"-0.50553"	"0.67818"	"0.04382"	"14.67029"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"72"	"max"	"0.1"	"-0.75493"	"-0.60571"	"-0.71778"	"0.76625"	"0.04118"	"15.16688"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"73"	"max"	"0.1"	"-0.68015"	"-0.74444"	"-0.74148"	"0.84804"	"0.03764"	"15.88524"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"74"	"max"	"0.1"	"-0.68369"	"-0.63631"	"-0.60405"	"0.84771"	"0.03165"	"17.27252"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"75"	"max"	"0.1"	"-0.63449"	"-0.6864"	"-0.74047"	"0.91356"	"0.02766"	"18.35152"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"76"	"max"	"0.1"	"-0.84333"	"-0.47581"	"-0.76351"	"0.59275"	"0.05097"	"13.46026"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"77"	"max"	"0.1"	"-0.59278"	"-0.6716"	"-0.64989"	"0.75297"	"0.03975"	"15.45037"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"78"	"max"	"0.1"	"-0.68035"	"-0.69475"	"-0.58984"	"0.86739"	"0.03062"	"17.53689"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"79"	"max"	"0.1"	"-0.55674"	"-0.67575"	"-0.78099"	"0.93133"	"0.02416"	"19.43397"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"80"	"max"	"0.1"	"-0.75458"	"-0.76924"	"-0.5752"	"0.85729"	"0.03611"	"16.2177"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"81"	"max"	"0.1"	"-0.71025"	"-0.65535"	"-0.72394"	"0.81316"	"0.03955"	"15.48963"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"82"	"max"	"0.1"	"-0.69843"	"-0.85652"	"-0.48904"	"0.92934"	"0.02594"	"18.86293"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"83"	"max"	"0.1"	"-0.64614"	"-0.49344"	"-1.03309"	"0.68696"	"0.05139"	"13.39476"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"84"	"max"	"0.1"	"-0.66125"	"-0.53692"	"-0.91108"	"0.7136"	"0.04669"	"14.1631"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"85"	"max"	"0.1"	"-0.65906"	"-0.60531"	"-0.75934"	"0.74575"	"0.04232"	"14.94848"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"86"	"max"	"0.1"	"-0.84592"	"-0.60452"	"-0.58069"	"0.77498"	"0.04061"	"15.27892"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"87"	"max"	"0.1"	"-0.87142"	"-0.63915"	"-0.54031"	"0.87702"	"0.0315"	"17.3098"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"88"	"max"	"0.1"	"-0.80163"	"-0.56462"	"-0.75968"	"0.90037"	"0.03164"	"17.27396"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"89"	"max"	"0.1"	"-0.66368"	"-0.68725"	"-0.61432"	"0.80079"	"0.03629"	"16.17733"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"90"	"max"	"0.1"	"-0.7657"	"-0.70451"	"-0.57991"	"0.79612"	"0.03872"	"15.65891"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"91"	"max"	"0.1"	"-0.76419"	"-0.71384"	"-0.65509"	"0.81519"	"0.03947"	"15.50655"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"92"	"max"	"0.1"	"-0.666"	"-0.62853"	"-0.68725"	"0.77296"	"0.03756"	"15.90324"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"93"	"max"	"0.1"	"-0.88769"	"-0.61776"	"-0.4439"	"0.76297"	"0.03777"	"15.85815"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"94"	"max"	"0.1"	"-0.59065"	"-0.71382"	"-0.67826"	"0.84729"	"0.03423"	"16.64623"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"95"	"max"	"0.1"	"-0.65581"	"-0.62775"	"-0.77494"	"0.76079"	"0.04192"	"15.02362"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"96"	"max"	"0.1"	"-0.69181"	"-0.58574"	"-0.70725"	"0.87693"	"0.03016"	"17.65726"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"97"	"max"	"0.1"	"-0.70776"	"-0.59245"	"-0.7777"	"0.80511"	"0.04288"	"14.84243"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"98"	"max"	"0.1"	"-0.76013"	"-0.56908"	"-0.77364"	"0.84881"	"0.03629"	"16.17802"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"99"	"max"	"0.1"	"-0.51732"	"-0.78335"	"-0.75353"	"0.749"	"0.04301"	"14.8199"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"100"	"max"	"0.1"	"-0.66852"	"-0.71344"	"-0.65431"	"0.85241"	"0.0353"	"16.39949"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"1"	"max"	"0.1"	"-0.42357"	"-0.70137"	"-0.99225"	"0.61397"	"0.0686"	"11.08472"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"2"	"max"	"0.1"	"-0.45721"	"-0.83048"	"-0.75274"	"0.32791"	"0.06799"	"11.15537"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"3"	"max"	"0.1"	"-0.99836"	"-0.54803"	"-0.68378"	"0.92927"	"0.03258"	"17.04001"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"4"	"max"	"0.1"	"-0.89354"	"-0.69852"	"-0.52862"	"0.90799"	"0.03219"	"17.13822"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"5"	"max"	"0.1081"	"-1.31839"	"-0.2601"	"-0.41106"	"0.92303"	"0.03223"	"17.12757"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"6"	"max"	"0.10741"	"-1.19277"	"-0.26075"	"-0.65743"	"0.68576"	"0.06816"	"11.13546"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"7"	"max"	"0.1"	"-0.54969"	"-1.01738"	"-0.33875"	"0.77209"	"0.04423"	"14.59537"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"8"	"max"	"0.1"	"-0.7491"	"-0.99771"	"-0.51588"	"0.86048"	"0.04236"	"14.94177"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"9"	"max"	"0.1"	"-0.5266"	"-1.19624"	"-0.4968"	"0.54114"	"0.06817"	"11.13403"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"10"	"max"	"0.1"	"-0.82957"	"-0.48407"	"-0.63348"	"0.84564"	"0.03382"	"16.74196"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"11"	"max"	"0.1"	"-1.20765"	"-0.322"	"-0.70792"	"0.77965"	"0.05096"	"13.46292"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"12"	"max"	"0.1"	"-0.46148"	"-0.98638"	"-0.5451"	"0.58689"	"0.05772"	"12.46565"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"13"	"max"	"0.1"	"-0.61922"	"-0.92952"	"-0.65226"	"0.83807"	"0.04642"	"14.20866"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"14"	"max"	"0.1"	"-0.73063"	"-0.67741"	"-0.66958"	"0.92789"	"0.02895"	"17.98701"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"15"	"max"	"0.1"	"-0.90383"	"-0.8683"	"-0.44242"	"0.72792"	"0.05392"	"13.01024"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"16"	"max"	"0.1"	"-0.57901"	"-0.99124"	"-0.51331"	"0.38511"	"0.07612"	"10.25242"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"17"	"max"	"0.1"	"-1.06084"	"-0.58681"	"-0.44298"	"0.37011"	"0.06497"	"11.51941"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"18"	"max"	"0.1"	"-0.97872"	"-0.60034"	"-0.62891"	"0.83529"	"0.046"	"14.28124"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"19"	"max"	"0.1"	"-0.63025"	"-1.01495"	"-0.52861"	"0.67303"	"0.07643"	"10.21975"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"20"	"max"	"0.1"	"-0.38606"	"-1.05515"	"-0.68855"	"0.22487"	"0.09069"	"8.85123"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"21"	"max"	"0.1"	"-1.0804"	"-0.27638"	"-1.05809"	"0.75891"	"0.05845"	"12.36513"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"22"	"max"	"0.1"	"-0.51164"	"-0.73202"	"-0.44169"	"0.80404"	"0.03026"	"17.63221"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"23"	"max"	"0.1"	"-0.0856"	"-0.8904"	"-1.08838"	"0.95233"	"0.02464"	"19.27443"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"24"	"max"	"0.1"	"-0.53326"	"-0.89513"	"-0.63003"	"0.39386"	"0.05979"	"12.18366"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"25"	"max"	"0.1"	"-0.99596"	"-0.62603"	"-0.62873"	"0.84042"	"0.04993"	"13.6254"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"26"	"max"	"0.1"	"-0.62029"	"-1.03801"	"-0.42229"	"0.73171"	"0.0595"	"12.22323"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"27"	"max"	"0.1"	"-0.85321"	"-0.5283"	"-0.64995"	"0.77383"	"0.03969"	"15.46097"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"28"	"max"	"0.1"	"-0.85129"	"-0.48519"	"-0.64279"	"0.46559"	"0.05735"	"12.51652"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"29"	"max"	"0.1"	"-0.45652"	"-0.85208"	"-0.77675"	"0.87568"	"0.03879"	"15.64569"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"30"	"max"	"0.1"	"-0.64649"	"-0.65888"	"-0.81868"	"0.60752"	"0.05475"	"12.88878"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"31"	"max"	"0.1"	"-0.70859"	"-0.85301"	"-0.7026"	"0.84091"	"0.04773"	"13.98662"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"32"	"max"	"0.11023"	"-0.81056"	"-0.20466"	"-0.97897"	"0.82865"	"0.05257"	"13.21296"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"33"	"max"	"0.1"	"-0.73003"	"-0.48629"	"-0.61932"	"0.62569"	"0.05581"	"12.73495"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"34"	"max"	"0.13738"	"-1.01164"	"-0.80766"	"0.02754"	"0.68684"	"0.0634"	"11.71529"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"35"	"max"	"0.1"	"-1.05083"	"-0.38474"	"-0.9295"	"0.92499"	"0.03284"	"16.97832"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"36"	"max"	"0.1"	"-0.76907"	"-0.63578"	"-0.55735"	"0.44453"	"0.05504"	"12.84573"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"37"	"max"	"0.1"	"-0.38189"	"-0.96815"	"-0.66157"	"0.42538"	"0.07372"	"10.50802"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"38"	"max"	"0.1"	"-0.66097"	"-0.67848"	"-0.70116"	"0.52825"	"0.07209"	"10.68761"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"39"	"max"	"0.1"	"-0.63723"	"-0.72958"	"-0.70582"	"0.34279"	"0.06974"	"10.95187"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"40"	"max"	"0.1"	"-0.76671"	"-0.7427"	"-0.50808"	"-0.6848"	"0.08017"	"9.83746"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"41"	"max"	"0.1"	"-1.13716"	"-0.49713"	"-0.52739"	"0.31138"	"0.08223"	"9.63463"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"42"	"max"	"0.1"	"-0.63702"	"-0.78537"	"-0.49298"	"0.28625"	"0.06107"	"12.01412"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"43"	"max"	"0.1"	"-0.64854"	"-0.72383"	"-0.69805"	"0.53994"	"0.0563"	"12.6646"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"44"	"max"	"0.1"	"-0.61534"	"-0.37047"	"-1.09515"	"0.80474"	"0.04246"	"14.92249"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"45"	"max"	"0.1"	"-0.97474"	"-0.72471"	"-0.23079"	"0.94488"	"0.02596"	"18.85686"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"46"	"max"	"0.1"	"-0.68491"	"-0.90176"	"-0.47936"	"0.45888"	"0.06333"	"11.72316"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"47"	"max"	"0.1"	"-0.67609"	"-0.45192"	"-0.91206"	"0.79421"	"0.04471"	"14.50826"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"48"	"max"	"0.1"	"-0.38549"	"-0.91932"	"-0.98993"	"0.86428"	"0.04575"	"14.32576"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"49"	"max"	"0.1"	"-0.6264"	"-0.70857"	"-0.57654"	"0.64682"	"0.05112"	"13.43741"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"50"	"max"	"0.1"	"-0.53599"	"-0.80874"	"-0.43381"	"-1.66887"	"0.08035"	"9.81976"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"51"	"max"	"0.1"	"-0.85685"	"-0.45214"	"-0.84005"	"0.49331"	"0.05913"	"12.27218"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"52"	"max"	"0.1"	"-0.71772"	"-0.77708"	"-0.70526"	"0.74593"	"0.0605"	"12.08938"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"53"	"max"	"0.1"	"-0.40768"	"-0.68706"	"-1.03881"	"0.88372"	"0.03479"	"16.51674"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"54"	"max"	"0.1"	"-0.66605"	"-0.99754"	"-0.54954"	"0.88168"	"0.041"	"15.201"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"55"	"max"	"0.1"	"-1.01594"	"-0.5979"	"-0.40909"	"0.70889"	"0.05169"	"13.3489"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"56"	"max"	"0.1076"	"-0.15351"	"-0.63541"	"-1.16003"	"0.8139"	"0.04303"	"14.81512"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"57"	"max"	"0.1"	"-0.5568"	"-0.75926"	"-0.63302"	"0.97986"	"0.01548"	"22.99397"	NA
"stick"	"3"	"-0.1"	"0.05"	"1"	"58"	"max"	"0.1"	"-1.34176"	"-0.66413"	"-0.21163"	"0.84665"	"0.04162"	"15.08104"	NA
